t,value
1635348910,40
1635348940,35
1635348970,35
1635349000,35
1635349030,35
1635349060,35
1635349090,35
1635349120,35
1635349150,35
1635349180,35
1635349210,41
1635349240,35
1635349270,35
1635349300,35
1635349330,35
1635349360,35
1635349390,35
1635349420,35
1635349450,35
1635349480,35
1635349510,41
1635349540,35
1635349570,37
1635349600,35
1635349630,35
1635349660,35
1635349690,35
1635349720,35
1635349750,35
1635349780,35
1635349810,40
1635349840,35
1635349870,35
1635349900,35
1635349930,35
1635349960,35
1635350292,35
1635350517,35
1635350547,35
1635350577,35
1635350607,39
1635350637,35
1635350667,35
1635350697,35
1635350727,39
1635350757,35
1635350787,35
1635350817,35
1635350847,35
1635350877,35
1635350907,35
1635350937,35
1635350967,35
1635350997,35
1635351027,39
1635351057,35
1635351087,35
1635351117,35
1635351147,35
1635351177,35
1635351207,35
1635351237,35
1635351267,35
1635351297,35
1635351327,39
1635351357,35
1635351387,35
1635351417,35
1635351447,35
1635351477,35
1635351507,35
1635351537,35
1635351567,35
1635351597,35
1635351627,39
1635351657,37
1635351687,35
1635351717,35
1635351747,35
1635351777,35
1635351807,35
1635351837,35
1635351867,35
1635351897,35
1635351927,40
1635351957,35
1635351987,35
1635352017,35
1635352047,35
1635352077,35
1635352107,35
1635352137,35
1635352167,35
1635352197,35
1635352227,39
1635352257,35
1635352287,35
1635352317,35
1635352347,35
1635352377,35
1635352407,35
1635352437,35
1635352467,35
1635352497,35
1635352527,39
1635352557,35
1635352587,35
1635352617,35
1635352647,35
1635352677,35
1635352707,35
1635352737,35
1635352767,35
1635352797,35
1635352827,39
1635352857,35
1635352887,35
1635352917,35
1635352947,35
1635352977,35
1635353007,35
1635353037,35
1635353067,35
1635353097,35
1635353127,40
1635353157,35
1635353187,35
1635353217,35
1635353247,35
1635353277,35
1635353307,35
1635353337,35
1635353367,35
1635353397,35
1635353427,40
1635353457,35
1635353487,35
1635353517,35
1635353547,35
1635353577,35
1635353607,35
1635353637,35
1635353667,35
1635353697,35
1635353727,40
1635353757,35
1635353787,35
1635353817,35
1635353847,35
1635353877,35
1635353907,35
1635353937,35
1635353967,35
1635353997,35
1635354027,39
1635354057,35
1635354087,35
1635354117,35
1635354147,35
1635354177,35
1635354207,35
1635354237,35
1635354267,35
1635354297,35
1635354327,39
1635354357,35
1635354387,35
1635354417,35
1635354447,35
1635354477,35
1635354507,35
1635354537,36
1635354567,35
1635354597,35
1635354627,40
1635354657,35
1635354687,35
1635354717,35
1635354747,35
1635354777,35
1635354807,35
1635354837,35
1635354867,35
1635354897,35
1635354927,40
1635354957,35
1635354987,35
1635355017,35
1635355047,35
1635355077,35
1635355107,35
1635355137,35
1635355167,35
1635355197,35
1635355227,38
1635355257,35
1635355287,35
1635355317,35
1635355347,35
1635355377,35
1635355407,35
1635355437,35
1635355467,35
1635355497,35
1635355527,40
1635355557,35
1635355587,35
1635355617,35
1635355647,35
1635355677,35
1635355707,35
1635355737,35
1635355767,35
1635355797,35
1635355827,39
1635355857,35
1635355887,35
1635355917,35
1635355947,35
1635355977,35
1635356007,35
1635356037,35
1635356067,35
1635356097,35
1635356127,40
1635356157,35
1635356187,35
1635356217,35
1635356247,35
1635356277,35
1635356307,35
1635356337,35
1635356367,35
1635356397,35
1635356427,39
1635356457,35
1635356487,35
1635356517,35
1635356547,35
1635356577,35
1635356607,35
1635356637,35
1635356667,35
1635356697,35
1635356727,40
1635356757,35
1635356787,35
1635356817,35
1635356847,35
1635356877,35
1635356907,35
1635356937,35
1635356967,35
1635356997,35
1635357027,38
1635357057,35
1635357087,35
1635357117,35
1635357147,35
1635357177,35
1635357207,35
1635357237,35
1635357267,35
1635357297,35
1635357327,40
1635357357,35
1635357387,35
1635357417,35
1635357447,35
1635357477,35
1635357507,35
1635357537,35
1635357567,35
1635357597,35
1635357627,41
1635357657,35
1635357687,35
1635357717,35
1635357747,35
1635357777,35
1635357807,35
1635357837,35
1635357867,35
1635357897,35
1635357927,39
1635357957,35
1635357987,35
1635358017,35
1635358047,35
1635358077,35
1635358107,35
1635358137,35
